Symbol,Name,LastSale,MarketCap,Sector,Industry
SSKN,"Strata Skin Sciences, Inc.",0.95,9674223.35,Health Care,Medical/Dental Instruments
PSUN,"Pacific Sunwear of California, Inc.",0.138,9676749.612,Consumer Services,Clothing/Shoe/Accessory Stores
CDORO,"Condor Hospitality Trust, Inc.",29.4,9775500,Consumer Services,Real Estate Investment Trusts
MARPS,Marine Petroleum Trust,4.9001,9800200,Energy,Oil & Gas Production
ATOS,Atossa Genetics Inc.,0.3231,9837186.606,Health Care,Medical/Dental Instruments
MTBC,"Medical Transcription Billing, Corp.",0.89,9848816.54,Technology,Computer Software: Prepackaged Software
NSPH,"Nanosphere, Inc.",0.82,9979603.36,Health Care,Medical/Dental Instruments
BBLU,"Blue Earth, Inc.",0.1051,9980357.589,Basic Industries,Electric Utilities: Central
SMLR,"Semler Scientific, Inc.",1.96,10042193.28,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
RITT,RIT Technologies Ltd.,0.6475,10061619.7,Consumer Durables,Telecommunications Equipment
CPAH,CounterPath Corporation,2.22,10070470.56,Technology,Computer Software: Prepackaged Software
NEOT,"Neothetics, Inc.",0.734,10078120.94,Health Care,Major Pharmaceuticals
KBSF,KBS Fashion Group Limited,0.4,10167414.8,Consumer Non-Durables,Apparel
BASI,"Bioanalytical Systems, Inc.",1.26,10215673.02,Health Care,Biotechnology: Commercial Physical & Biological Resarch
DHRM,Dehaier Medical Systems Limited,1.75,10229931.25,Health Care,Medical/Dental Instruments
RLJE,"RLJ Entertainment, Inc.",0.7952,10239841.29,Consumer Services,Movies/Entertainment
QTWW,"Quantum Fuel Systems Technologies Worldwide, Inc.",0.3693,10348760.58,Capital Goods,Auto Parts:O.E.M.
ALXA,"Alexza Pharmaceuticals, Inc.",0.5301,10373913.34,Health Care,Major Pharmaceuticals
DRIO,LabStyle Innovations Corp.,3.51,10432235.97,Health Care,Medical/Dental Instruments
TORM          ,TOR Minerals International Inc,3.514,10591273.31,Basic Industries,Major Chemicals
AKER,Akers Biosciences Inc,2.06,10598364.22,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NSYS,Nortech Systems Incorporated,3.89,10683204.25,Capital Goods,Industrial Machinery/Components
RELV,"Reliv&#39; International, Inc.",0.828,10697023.08,Health Care,Major Pharmaceuticals
FEUZ,First Trust Eurozone AlphaDEX ETF,31.005,10851812.01,n/a,n/a
QINC,First Trust RBA Quality Income ETF,21.72,10860043.44,n/a,n/a
RTTR,"Ritter Pharmaceuticals, Inc.",1.405,10948368.37,Health Care,Major Pharmaceuticals
LTBR,Lightbridge Corporation,0.59,10987798.33,Consumer Services,Professional Services
FONE,First Trust NASDAQ Smartphone Index Fund,37,11100074,n/a,n/a
RIBT,RiceBran Technologies,1.18,11246351.08,Consumer Non-Durables,Packaged Foods
USEG,U.S. Energy Corp.,0.4,11340408.8,Energy,Oil & Gas Production
FORD,"Forward Industries, Inc.",1.31,11342214.49,Consumer Non-Durables,Plastic Products
WSCI,WSI Industries Inc.,3.91,11415245,Technology,Industrial Machinery/Components
FTRI,First Trust Indxx Global Natural Resources Income ETF,10.46,11506020.92,n/a,n/a
ONTX,"Onconova Therapeutics, Inc.",0.468,11638401.84,Health Care,Major Pharmaceuticals
DTUS,region,31.13,11642402.09,Finance,Commercial Banks
CNYD,"China Yida Holding, Co.",2.98,11665448.4,Consumer Services,Advertising
UGLD,region,11.93,11758422.74,Finance,Investment Bankers/Brokers/Service
ELSE,"Electro-Sensors, Inc.",3.52,11952233.92,Capital Goods,Industrial Machinery/Components
MICT,"Micronet Enertec Technologies, Inc.",2.05,12023703.05,Capital Goods,Electrical Products
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,34.38,12033068.76,n/a,n/a
VSCP,"VirtualScopics, Inc.",4.03,12103020.93,Health Care,Medical/Dental Instruments
PPHMP,Peregrine Pharmaceuticals Inc.,17.5,12250000,Health Care,Major Pharmaceuticals
PSCM,PowerShares S&P SmallCap Materials Portfolio,30.785,12314000,n/a,n/a
CDTI,"Clean Diesel Technologies, Inc.",0.74,12453316.44,Capital Goods,Pollution Control Equipment
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,20.885,12531083.54,n/a,n/a
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",3.0975,12579108.57,Capital Goods,Industrial Machinery/Components
PHMD,"PhotoMedex, Inc.",0.57,12586579.26,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
GNVC,"GenVec, Inc.",0.73,12602982.07,Health Care,Major Pharmaceuticals
HOVNP,Hovnanian Enterprises Inc,2.53,12650000,Capital Goods,Homebuilding
STAF,"Staffing 360 Solutions, Inc.",2.59,12700243.71,Technology,Professional Services
FLAG,WeatherStorm Forensic Accounting Long Short ETF,31.79,12716000,n/a,n/a
GIGA,Giga-tronics Incorporated,1.36,12987256.08,Capital Goods,Electrical Products
CARV,"Carver Bancorp, Inc.",3.52,13010226.24,Finance,Savings Institutions
ELTK,Eltek Ltd.,1.29,13084162.98,Technology,Electrical Products
STPP,region,32.2,13105400,Finance,Commercial Banks
JAGX,"Jaguar Animal Health, Inc.",1.6201,13163187.75,Health Care,Major Pharmaceuticals
YDIV,First Trust International Multi-Asset Diversified Income Index,16.93,13544033.86,n/a,n/a
TWER,Towerstream Corporation,0.2031,13562516.14,Consumer Services,Telecommunications Equipment
MDVX,Medovex Corp.,1.22,13725078.08,Health Care,Medical/Dental Instruments
DLBS,region,16.6,13770098.4,Finance,Commercial Banks
PDEX,"Pro-Dex, Inc.",3.3991,14102879.5,Health Care,Medical/Dental Instruments
WHLRP,"Wheeler Real Estate Investment Trust, Inc.",19.71,14191200,Consumer Services,Real Estate Investment Trusts
OPXA,"Opexa Therapeutics, Inc.",2.08,14277827.2,Health Care,Major Pharmaceuticals
ROKA,"Roka Bioscience, Inc.",0.8,14287360.8,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ISNS,"Image Sensing Systems, Inc.",2.8446,14302648.8,Capital Goods,Industrial Machinery/Components
MTR,Mesa Royalty Trust,7.68,14312371.2,Energy,Oil & Gas Production
ECTE,"Echo Therapeutics, Inc.",1.29,14354206.68,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EVAR,"Lombard Medical, Inc.",0.8925,14445973.76,Health Care,Medical/Dental Instruments
DAX,Recon Capital DAX Germany ETF,24.09,14454000,n/a,n/a
IFON,InfoSonics Corp,1.01,14532615.28,Consumer Non-Durables,Electronic Components
IMNP          ,Immune Pharmaceuticals Inc.,0.48,14534754.72,Health Care,Major Pharmaceuticals
SYRX,Sysorex Global,0.58,14663355.84,Technology,EDP Services
UNXL,"Uni-Pixel, Inc.",0.75,14671949.25,Capital Goods,Industrial Machinery/Components
ADRU,BLDRS Europe 100 ADR Index Fund,19.79,14842500,n/a,n/a
AEHR,Aehr Test Systems,1.13,14875767.48,Capital Goods,Electrical Products
CYCC,"Cyclacel Pharmaceuticals, Inc.",0.43,14922251.3,Health Care,Major Pharmaceuticals
LTRX,"Lantronix, Inc.",0.99,15072953.94,Technology,Computer Communications Equipment
SAEX,"SAExploration Holdings, Inc.",0.8699,15108138.74,Energy,Oil & Gas Production
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,45.02,15757000,n/a,n/a
LALT,PowerShares Multi-Strategy Alternative Portfolio,22.57,15799000,n/a,n/a
FSNN,"Fusion Telecommunications International, Inc.",1.74,15818860.26,Technology,Computer Software: Prepackaged Software
OCC,Optical Cable Corporation,2.26,15939244.38,Basic Industries,Telecommunications Equipment
HTBX,"Heat Biologics, Inc.",1.9,16006817.9,Health Care,Major Pharmaceuticals
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,20.2399,16191920,n/a,n/a
ANDAU,Andina Acquisition Corp. II,9.85,16252509.85,Finance,Business Services
CETX,Cemtrex Inc.,2.02,16417394.46,Capital Goods,Industrial Machinery/Components
CTIB,CTI Industries Corporation,5.0236,16583486.34,Basic Industries,Specialty Chemicals
KOSS,Koss Corporation,2.2473,16591155.19,Consumer Non-Durables,Consumer Electronics/Appliances
ESEA,Euroseas Ltd.,2.03,16637392.8,Transportation,Marine Transportation
CAPN,"Capnia, Inc.",1.35,16695864.45,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
OTEL,Otelco Inc.,5.146,16713585.33,Public Utilities,Telecommunications Equipment
MCUR,MACROCURE LTD.,0.98,16716601.86,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FCA,First Trust China AlphaDEX Fund,18.63,16767037.26,n/a,n/a
ATLS,"Atlas Energy, L.P.",0.645,16776944.07,Energy,Oil & Gas Production
NXTD,NXT-ID Inc.,0.5597,16807463.02,Consumer Services,Diversified Commercial Services
QQQC,Global X NASDAQ China Technology ETF,21.11,16888000,n/a,n/a
SAJA,"Sajan, Inc.",3.59,17170047.37,Miscellaneous,Business Services
VKTX,"Viking Therapeutics, Inc.",1.78,17237058.98,Health Care,Major Pharmaceuticals
SGYPU,"Synergy Pharmaceuticals, Inc.",9.5,17272729,Health Care,Major Pharmaceuticals
CBYL,"Carbylan Therapeutics, Inc.",0.6599,17370213.79,Health Care,Major Pharmaceuticals
CYRX,"CryoPort, Inc.",1.42,17384741.92,Capital Goods,Containers/Packaging
SSH,Sunshine Heart Inc,0.95,17422950.6,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ACST,"Acasti Pharma, Inc.",1.6289,17448838.7,Health Care,Major Pharmaceuticals
OCLS,"Oculus Innovative Sciences, Inc.",1,17519295,Health Care,Medical/Dental Instruments
DAIO,Data I/O Corporation,2.2099,17554826.83,Capital Goods,Electrical Products
BDMS,"Birner Dental Management Services, Inc.",9.4501,17587637.81,Health Care,Medical/Nursing Services
HIHO,Highway Holdings Limited,4.64,17640695.36,Capital Goods,Metal Fabrications
XNY,China Xiniya Fashion Limited,1.2401,17649466.55,Consumer Non-Durables,Apparel
LGCYO,Legacy Reserves LP,2.54,17780000,Energy,Oil & Gas Production
QYLD,Recon Capital NASDAQ-100 Covered Call ETF,22.26,17808000,n/a,n/a
HTGM,"HTG Molecular Diagnostics, Inc.",2.61,17852045.04,Capital Goods,Biotechnology: Laboratory Analytical Instruments
WRES,"Warren Resources, Inc.",0.2102,17909768.55,Energy,Oil & Gas Production
CSF,Victory CEMP US Discovery Enhanced Volatility Wtd Index ETF,32.7199,17995945,n/a,n/a
OPGN,"OpGen, Inc.",1.45,18182570.8,Health Care,Medical Specialities
RESN,Resonant Inc.,2.52,18184501.44,Technology,Semiconductors
CRTN,"Cartesian, Inc.",2.03,18383466.85,Consumer Services,Professional Services
OXGN,"OXiGENE, Inc.",0.7,18581453.8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ROSG,Rosetta Genomics Ltd.,1.26,18703475.28,Health Care,Major Pharmaceuticals
TRCH,"Torchlight Energy Resources, Inc.",0.6,18744163.8,Energy,Oil & Gas Production
HOTR,"Chanticleer Holdings, Inc.",0.88,18891858.48,Consumer Services,Restaurants
RXII,RXI Pharmaceuticals Corporation,0.29,18951245.09,Health Care,Major Pharmaceuticals
FWM,Fairway Group Holdings Corp.,0.4298,18966824.29,Consumer Services,Food Chains
EQS,"Equus Total Return, Inc.",1.498,18985121.71,n/a,n/a
RLOG,"Rand Logistics, Inc.",1.04,19012248.32,Consumer Services,Marine Transportation
FDIV,First Trust Strategic Income ETF,47.7101,19084135.42,n/a,n/a
BBC,BioShares Biotechnology Clinical Trials Fund,17.38,19118000,n/a,n/a
CFBK,Central Federal Corporation,1.2,19240452,Finance,Savings Institutions
SYPR,"Sypris Solutions, Inc.",0.93,19333345.92,Capital Goods,Industrial Machinery/Components
GBSN,"Great Basin Scientific, Inc.",0.17,19419437.28,Health Care,Medical/Dental Instruments
CBIO,"Catalyst Biosciences, Inc. ",1.7,19431176.8,Health Care,Major Pharmaceuticals
HYZD,WisdomTree BofA Merrill Lynch High Yield Bond Zero Duration Fu,21.7059,19535310,n/a,n/a
AEY,"ADDvantage Technologies Group, Inc.",1.98,19941294.78,Consumer Services,Office Equipment/Supplies/Services
CNET,"ChinaNet Online Holdings, Inc.",0.68,20114488.4,Technology,Advertising
ICLD,"InterCloud Systems, Inc",0.78,20266914.72,Miscellaneous,Business Services
ICCC,ImmuCell Corporation,6.67,20377076.78,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
PRPH,"ProPhase Labs, Inc.",1.1999,20495223.12,Health Care,Major Pharmaceuticals
AETI,"American Electric Technologies, Inc.",2.5,20635002.5,Energy,Industrial Machinery/Components
BBP,BioShares Biotechnology Products Fund,23,20700000,n/a,n/a
BSI,Alon Blue Square Israel Ltd.,3.17,20973309.62,n/a,n/a
OBCI,"Ocean Bio-Chem, Inc.",2.34,21019567.14,Consumer Durables,Specialty Chemicals
BIOD,Biodel Inc.,0.328,21040632.89,Health Care,Major Pharmaceuticals
FMB,First Trust Managed Municipal ETF,52.68,21072105.36,n/a,n/a
MBSD,FlexShares Disciplined Duration MBS Index Fund,24.81,21088524.81,n/a,n/a
ENZN,"Enzon Pharmaceuticals, Inc.",0.48,21207555.36,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTRM,"Determine, Inc. ",1.9,21265750,Technology,Computer Software: Prepackaged Software
SGRP,"SPAR Group, Inc.",1.04,21375012.88,Miscellaneous,Business Services
STXS,"Stereotaxis, Inc.",0.9899,21404465.15,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
GSI,"General Steel Holdings, Inc.",1.3,21576613.5,Capital Goods,Steel/Iron Ore
VALX,Validea Market Legends ETF,22.93,21783500,n/a,n/a
CIDM,Cinedigm Corp,0.28,21971729.36,Consumer Services,Consumer Electronics/Video Chains
IDSA,"Industrial Services of America, Inc.",2.74,21971873.68,Basic Industries,Miscellaneous
RBCN,"Rubicon Technology, Inc.",0.8395,22433923.24,Technology,Semiconductors
SMCP,AlphaMark Actively Managed Small Cap ETF,21.46,22533000,n/a,n/a
SBSA,"Spanish Broadcasting System, Inc.",3.4966,22753579.03,Consumer Services,Broadcasting
CSPI,CSP Inc.,6.182,22773214.51,Technology,EDP Services
SMTX,SMTC Corporation,1.39,22820013.64,Technology,Electrical Products
ECT,ECA Marcellus Trust I,1.3,22886500,Energy,Oil & Gas Production
APWC,Asia Pacific Wire & Cable Corporation Limited,1.67,23078847.23,Basic Industries,Telecommunications Equipment
FNJN,"Finjan Holdings, Inc.",1.02,23093423.22,Miscellaneous,Multi-Sector Companies
ABAC,"Aoxin Tianli Group, Inc.",0.699,23194917,Consumer Non-Durables,Farming/Seeds/Milling
IKNX,Ikonics Corporation,11.5305,23271466.22,Miscellaneous,Industrial Machinery/Components
JVA,"Coffee Holding Co., Inc.",3.78,23293142.46,Consumer Non-Durables,Food Distributors
ADRA,BLDRS Asia 50 ADR Index Fund,25.96,23364000,n/a,n/a
CPSH,CPS Technologies Corp.,1.7732,23402548.2,Capital Goods,Building Materials
WVFC,WVS Financial Corp.,11.5025,23455081.32,Finance,Banks
OGXI,OncoGenex Pharmaceuticals Inc.,0.7905,23567174.92,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BLFS,"BioLife Solutions, Inc.",1.91,23776426.81,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ACPW,"Active Power, Inc.",1.03,23802483.21,Public Utilities,Electric Utilities: Central
RPRX,Repros Therapeutics Inc.,0.98,23831748.78,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INVE,"Identiv, Inc.",2.22,23858142.42,Technology,Computer peripheral equipment
EMITF,Elbit Imaging Ltd.,0.866,23877720.05,Consumer Services,Building operators
NETE,"Net Element, Inc.",0.2997,23976342.56,Technology,EDP Services
DSLV,region,42.3,23981392.8,Finance,Investment Bankers/Brokers/Service
